Player,Team,Pos,Pos_Num,Class,Age,GP,MPG,MIN_PERC,USG_PERC,Tor,FTA,FT_PERC,2PA,2P_PERC,3PA,3P_PERC,TS_PERC,PPG,RPG,TRB_PERC,APG,AST_PERC,SPG,BPG,TOPG,VI,ORTG,DRTG
Aaron Brooks,Min,PG,1,FrontCourt,33,11,4.8,10,19.7,0.084,2,0.5,11,0.455,10,0.5,0.594,2.4,0.5,6.5,0.6,20.8,0.09,0,0.18,7.5,,
Aaron Gordon,Orl,SF,3,BackCourt,22,20,32.9,68.5,21.2,0.09,85,0.765,150,0.56,105,0.438,0.634,18.6,8.4,13.8,2.2,10.2,1.05,0.9,1.45,8.5,121.6,106.1
Abdel Nader,Bos,SF,3,BackCourt,24,11,7,14.5,14.4,0.24,0,0,12,0.417,7,0.286,0.421,1.5,0.8,6.4,0.3,5.7,0.18,0.18,0.55,4.1,72.6,96.4
Al Horford,Bos,C,5,BackCourt,31,21,32.5,67.6,18.1,0.18,43,0.791,141,0.596,68,0.441,0.641,13.9,8.1,13.7,4.9,24.7,0.62,1,2.38,10.1,118.2,96.8
Al Jefferson,Ind,C,5,BackCourt,33,10,14,29.1,22.1,0.114,12,0.833,56,0.554,1,0,0.578,7.2,4.7,18.9,1.1,12.3,0.5,0.7,0.8,9.5,114.5,94.9
Alec Burks,Uta,SG,2,FrontCourt,26,21,18,37.6,21.5,0.094,35,0.914,98,0.398,50,0.42,0.529,8.2,3,9.6,0.9,7.7,0.9,0.29,0.81,6.2,102.1,100.4
Alec Peters,Pho,PF,4,BackCourt,22,2,7.2,15,11.4,0,0,0,0,0,4,0.25,0.375,1.5,1.5,10.7,0,0,0,1,0,0,81.6,107.8
Alex Abrines,Okc,SG,2,FrontCourt,24,19,15.2,31.7,12.2,0.086,11,0.818,23,0.478,47,0.319,0.508,4,1.4,5.3,0.4,3.5,0.53,0.05,0.37,3.4,104,97.1
Alex Caruso,Lal,SG,2,FrontCourt,23,2,9.5,19.8,8.8,0.5,0,0,2,0.5,0,0,0.5,1,1,5.5,2,26.7,0,0,1,5.3,83.2,111.3
Alex Len,Pho,C,5,BackCourt,24,20,23,47.9,16.3,0.142,83,0.759,120,0.483,0,0,0.572,9,9.4,21.1,0.9,5.3,0.3,0.9,1.3,7.4,117.4,102.4
Alex Poythress,Ind,SF,3,BackCourt,24,7,2.8,5.8,8.9,0.25,0,0,1,0,2,1,1,0.9,0.6,11.4,0,0,0,0,0.14,0,,
Al-Farouq Aminu,Por,SF,3,BackCourt,27,9,29.3,61,12.8,0.116,12,0.833,30,0.433,33,0.455,0.593,9,7.8,14.5,1.6,8,0.78,1.11,1,6.6,119.6,97.2
Alfonzo McKinnie,Tor,F,5,BackCourt,25,7,3.6,7.4,14.7,0.12,3,0.667,3,1,3,0.333,0.751,1.6,0.7,11.6,0.1,5.8,0,0.14,0.14,5.4,,
Allen Crabbe,Bro,SG,2,FrontCourt,25,18,27.3,56.9,18.3,0.087,35,0.829,72,0.431,111,0.396,0.562,12.4,4,7.6,1.4,7.9,0.67,0.28,1.06,6,109.4,107.3
Amir Johnson,Phi,PF,4,BackCourt,30,19,15.4,32.1,14.1,0.161,24,0.417,63,0.571,10,0.1,0.509,4.5,5.8,19.5,1.1,9.6,0.68,0.79,0.84,8,107.8,88.2
Andre Drummond,Det,C,5,BackCourt,24,20,33.1,69,20.9,0.215,92,0.63,208,0.548,0,0,0.575,14.3,15.2,26,3.7,16.7,1.5,1.15,3.4,11.2,112,93.6
Andre Iguodala,Gol,SF,3,BackCourt,34,20,26,54.1,10.4,0.111,32,0.656,61,0.59,37,0.297,0.562,6.3,3.6,7.6,2.9,13.4,0.55,0.6,0.7,6.2,123.3,107.6
Andre Roberson,Okc,SF,3,BackCourt,26,20,24.4,50.9,9.3,0.171,12,0.333,54,0.63,28,0.25,0.533,4.7,4.1,9.3,1.2,6.7,0.65,0.7,0.9,4.7,107.9,101.5
Andrew Bogut,Lal,C,5,BackCourt,33,14,8,16.6,8.6,0.435,0,0,13,0.615,0,0,0.615,1.1,3.1,20.2,0.6,10.5,0.14,0.71,0.71,6.3,95.2,90.3
Andrew Harrison,Mem,SG,2,FrontCourt,23,14,15.7,32.8,18.2,0.138,16,0.938,35,0.457,33,0.242,0.473,5.1,1.6,5.7,1.1,11.4,0.36,0.21,0.86,5.3,92.3,102.2
